dm_desc	frequency
Ribosomal protein S14	54
Putative RNA-degradation protein TTHA0252	54
Orphan nuclear receptor ERR3	54
Transcarbamylase-like protein	54
Dihydropyrimidine dehydrogenase, C-terminal domain	54
Major capsid protein gp5	54
AUH protein	54
Methyl-accepting chemotaxis protein	54
Glucose-resistance amylase regulator CcpA, C-terminal domain	54
Dehaloperoxidase	54
Adenylylcyclase toxin (the edema factor)	54
Adenylate kinase	54
Plasminogen activator inhibitor-1	54
Platelet factor 4, PF4	54
Heme oxygenase-1 (HO-1)	54
Pprobable purine phosphoribosyltransferase PH0095	54
TATA-box binding protein (TBP), C-terminal domain	53
Photosystem II reaction center d2 protein PsbD2	53
Protease Do (DegP, HtrA), catalytic domain	53
Tryptophan indol-lyase (tryptophanase)	53
Interleukin-2 (IL-2)	53
2Fe-2S ferredoxin	53
Succinyl-CoA synthetase, alpha-chain, C-terminal domain	53
Succinyl-CoA synthetase, alpha-chain, N-terminal (CoA-binding) domain	53
Ribosomal protein S10	53
Tubulin alpha-subunit	53
Ornithine aminotransferase	53
Stromelysin-1 (MMP-3)	53
dsRNA phage RNA-dependent RNA-polymerase	52
AMP nucleosidase	52
beta-Lactam synthetase	52
S-adenosylmethionine synthetase	52
2-methylisocitrate lyase	52
DNA-binding domain of retroviral integrase	52
Histidine-containing phosphocarrier protein (HPr)	52
Leucine aminopeptidase, C-terminal domain	52
2,4-dienoyl-CoA reductase	52
RBP9 subunit of RNA polymerase II	52
Rho termination factor, RNA-binding domain	52
Cyclin A/CDK2-associated p45, Skp1	52
Inorganic polyphosphate/ATP-NAD kinase PpnK	52
Leucine aminopeptidase (Aminopeptidase A), N-terminal domain	52
Cyanovirin-N	52
Bacterial ba3 type cytochrome c oxidase subunit IIa	52
Family B DNA polymerase	52
Bacterial ba3 type cytochrome c oxidase subunit I	52
Heat-labile toxin, A-chain	51
Urease, beta-subunit	51
Protease Do (DegP, HtrA), C-terminal domains	51
Snake coagglutinin beta chain	51
Camelid IG heavy chain variable domain, VHh	51
Myosin S1, motor domain	51
Synaptic protein PSD-95	51
Uracil-DNA glycosylase	50
Artocarpin	50
Lipase A	50
Transcription termination factor Rho, ATPase domain	50
Penicillin acylase	50
mRNA export factor tap	50
Salicylate synthase MbtI	50
Deoxyribonucleoside kinase	50
Polymyxin resistance protein ArnA, N-terminal domain	50
Polymyxin resistance protein ArnA, domain 2	50
BEST1	50
CDC42	50
O-acetylserine sulfhydrylase (Cysteine synthase)	49
Methylamine dehydrogenase, H-chain	49
Sigma70 (SigA, RpoD)	49
Human immunodeficiency virus type 2 (HIV-2) protease	49
Tyrosine phosphatase	49
Snake coagglutinin alpha chain	49
Nicotinate-nucleotide pyrophosphorylase PF1904	48
Hepatocyte growth factor	48
Talin	48
R1 subunit of ribonucleotide reductase, C-terminal domain	48
DJ-1	48
Cyclodextrin glycosyltransferase	48
R1 subunit of ribonucleotide reductase, N-terminal domain	48
Papillomavirus-1 E2 protein	48
Alternate ribose 5-phosphate isomerase B, RpiB	48
NK1 fragment of hepatocyte growth factor	48
Cytosolic phosphoenolpyruvate carboxykinase (GTP-hydrolyzing)	48
Creatine kinase, N-domain	48
Rho termination factor, N-terminal domain	48
Flp recombinase	48
Bacterial protein-export protein SecB	48
Calpain small (regulatory) subunit (domain VI)	48
BIR domains of XIAP	48
beta 1,4 galactosyltransferase (b4GalT1)	48
Bacterial beta-amylase	48
Maltoporin (also LamB protein)	48
Short chain L-3-hydroxyacyl CoA dehydrogenase	48
Hydroxyisobutyrate dehydrogenase	48
Potassium channel-related protein MthK, C-terminal domain	48
Monoamine oxidase regulatory protein	48
Ferrochelatase	48
Catabolite gene activator protein (CAP), C-terminal domain	48
Endo-alpha-sialidase	48
beta-amylase	48
Creatine kinase, C-terminal domain	48
Restriction endonuclease HincII	48
cGMP-inhibited 3',5'-cyclic phosphodiesterase B, pde3b	48
Lac-repressor (lacR) core (C-terminal domain)	48
Dihydropyrimidine amidohydrolase Pyd2	48
Ectodysplasin A, Eda-a1	48
Aromatic aminoacid aminotransferase, AroAT	48
Subunit IV of the cytochrome b6f complex	47
Diphtheria toxin repressor (DtxR)	47
Speckle-type poz protein SPOP	47
Nuclear transport factor-2 (NTF2)	47
Polymerase basic protein 2, PB2	47
Branched-chain alpha-keto acid dehydrogenase	47
Ribosomal protein L29 (L29p)	47
Branched-chain alpha-keto acid dehydrogenase, Pyr module	47
Naphthalene 1,2-dioxygenase alpha subunit, N-domain	46
Xylanase II	46
Alpha-l-arabinofuranosidase	46
Alpha-L-arabinofuranosidase, catalytic domain	46
Mannose-specific adhesin FimH, C-terminal domain	46
5'-AMP-activated protein kinase subunit beta-2	46
Cytochrome b559 subunit beta, PsbF	46
Type II 3-hydroxyacyl-CoA dehydrogenase	46
Heme oxygenase HmuO	46
N-carbamoyl-D-aminoacid amidohydrolase	46
Calcium-activated non-selective cation channel TRPM4	46
MAP kinase Erk2	46
Hypothetical protein PAE2754	46
Glutamine PRPP amidotransferase, N-terminal domain	46
Animal alpha-amylase	46
Glutamine PRPP amidotransferase, C-terminal domain	46
Association domain of calcium/calmodulin-dependent protein kinase type II alpha subunit, CAMK2A	46
Uracil-DNA glycosylase inhibitor protein	45
Exonuclease domain of phi29 DNA polymerase	45
phi29 DNA polymerase	45
GU4 nucleic-binding protein 1, Arc1p	45
Iron-containing nitrile hydratase	45
Ribosomal protein S3 N-terminal domain	45
Focal adhesion kinase 1 (fak)	45
Ribosomal protein S3 C-terminal domain	45
Casein kinase II beta subunit	45
Myosin S1 fragment, N-terminal domain	45
Pre-mRNA splicing factor Prp19	45
gp120 core	45
HIV capsid protein, dimerisation domain	45
RNA polymerase I subunit A49, interaction domain	45
CD8	45
Putative transcriptional regulator PH1519	44
Periplasmic chaperone FimC	44
Kinesin	44
GINS complex subunit 3, PSF3	44
Arc repressor	44
Ketoacyl-ACP synthase III (FabH)	44
Hypoxanthine-guanine-xanthine PRTase	44
Aspartyl-tRNA synthetase (AspRS)	44
High-affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A, PDE9A	44
Fructose-bisphosphate aldolase (FBP aldolase)	44
Guanylate kinase	44
FimC	44
Myoglobin	44
Beta-1,3-glucanase	44
Thermosome, I domain	44
Beta-defensin, BD	44
MAP kinase p38	44
Fibronectin	44
Peroxiredoxin	44
RPB6	44
Plant CNX1 G domain	44
Manganese transport regulator MntR	44
Rho guanine nucleotide exchange factor 11, PDZ-RhoGEF	44
Fibroblast growth factor receptor 2	44
Proprotein convertase subtilisin/kexin type 9	44
Thermosome, E domain	44
Xanthine dehydrogenase chain B, N-terminal domain	43
Xanthine dehydrogenase chain B, C-terminal domain	43
Branched-chain alpha-keto acid dehydrogenase, PP module	43
mono-domain cytidine deaminase	43
Actin-related protein 2, Arp2	43
Transglutaminase catalytic domain	42
Fumarate reductase subunit FrdD	42
Antioxidant defense protein AhpD	42
Galactose mutarotase	42
3-hydroxy-3-methylglutaryl CoA synthase MvaS, C-terminal domain	42
beta-Nerve growth factor	42
14.5 kda translational inhibitor protein, L-PSP	42
Phenylalanine ammonia-lyase, PAL	42
ADP-ribosylation factor binding protein Gga3	42
Sigma factor sigma-28 (FliA)	42
Glycinamide ribonucleotide transformylase, GART	42
Uncharacterized protein AF1549	42
C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase	42
Methylmalonyl-CoA carboxyltransferase (transcarboxylase 12S)	42
Adenine PRTase	42
Tyrosine phenol-lyase	42
Transglutaminase N-terminal domain	42
anthrax toxin protective antigen-receptor complex	42
Transglutaminase, two C-terminal domains	42
Cystatin C	42
Urease, gamma-subunit	42
3-hydroxy-3-methylglutaryl CoA synthase MvaS, N-terminal domain	42
RuBisCo LSMT C-terminal, substrate-binding domain	42
Carbon monoxide (CO) dehydrogenase molybdoprotein, N-domain	42
Carbon monoxide (CO) dehydrogenase molybdoprotein	42
Artificial diiron protein	42
Galactose/lactose metabolism regulatory protein GAL80	42
RuBisCo LSMT catalytic domain	42
Human cytomegalovirus protease	42
Floral defensin 1	42
Caspase-7	42
Trp repressor, TrpR	42
Nickel responsive regulator NikR, N-terminal domain	41
EGF receptor extracellular domain	41
Xylanase A, catalytic core	41
Ribosomal protein L15e	41
Elongation factor Tu (EF-Tu), N-terminal (G) domain	41
Androgen receptor	41
Elongation factor Tu (EF-Tu), domain 2	41
Pseudoazurin	41
Ubiquitin carboxyl-terminal hydrolase 7 (USP7, HAUSP)	41
HIV-1 matrix protein (HIV-1 MA, HIVp17, p17, MA)	41
Elongation factor Tu (EF-Tu)	41
Anti-silencing protein 1, ASF1	41
BIR-containing protein 7 (ML-IAP, livin)	41
Epidermin modifying enzyme (peptidyl-cysteine decarboxylase) EpiD	41
Holo-(acyl carrier protein) synthase ACPS	41
Ribosomal protein L39e	41
E-cadherin (epithelial)	41
Guanine nucleotide-binding protein subunit beta-2-like 1 (GNB2L1 or RACK1)	41
Kv1.2	40
Tropomyosin	40
Glucocorticoid-induced TNF-related ligand, TNFSF18	40
Splicesomal U1A protein	40
C-terminal domain of ribosomal protein L2	40
Fatty acid amide hydrolase (oleamide hydrolase)	40
3-isopropylmalate dehydrogenase, IPMDH	40
Arginine repressor (ArgR), N-terminal DNA-binding domain	40
Mannitol dehydrogenase	40
N-terminal (heme c) domain of cytochrome cd1-nitrite reductase	40
Ribosomal protein L18 (L18p)	40
YwfI homologue	40
Hypothetical protein NE0167	40
Activin A (Inhibin beta A)	40
Hemapoetic cell kinase Hck	40
Ribose transport protein RbsD	40
Histidine triad nucleotide-binding protein (HINT)	40
Arginine deiminase	40
Plasmepsin (a hemoglobin-degrading enzyme)	40
Alanine racemase	40
Succinate:CoA transferase, N-terminal domain	40
Tryparedoxin peroxidase (thioredoxin peroxidase homologue)	40
Succinate:CoA transferase, C-terminal domain	40
Intracellular protease	40
alpha-1,3-galactosyltransferase catalytic domain	40
Dbl's big sister, Dbs	40
Pertussis toxin S4 subunit	40
Prostatic acid phosphatase	40
Envelope glycoprotein	40
BMP receptor Ia ectodomain	40
Calicheamicin methyltransferase CalS11	40
Carbamoyl phosphate synthetase, small subunit N-terminal domain	40
Carbamoyl phosphate synthetase, small subunit C-terminal domain	40
Retinoblastoma tumor suppressor domains	40
RNase III endonuclease catalytic domain	40
Pertussis toxin S2/S3 subunits, C-terminal domain	40
Ethr repressor	40
Prostaglandin d2 11-ketoreductase (akr1c3)	40
DsrA insert domain	40
N-terminal domain of ribosomal protein L2	40
3-alpha-hydroxysteroid dehydrogenase	40
Phosphotransacetylase Pta	40
Class omega GST	40
Polymyxin resistance protein ArnA (PrmI)	40
ATP phosphoribosyltransferase regulatory subunit HisZ	40
Class delta GST	40
Tyrosine-protein kinase Itk/Tsk	40
Methanol dehydrogenase, heavy chain	40
Pertussis toxin, S2/S3 subunits, N-terminal domain	40
Photosystem I iron-sulfur protein PsaC	40
4-hydroxyphenylpyruvate dioxygenase, HppD	40
Bacterial ba3 type cytochrome c oxidase subunit II	40
Chlorophenol reduction protein CprK	40
Nucleophosmin (NO38)	40
Ribosomal S5 protein, N-terminal domain	39
GAT subunit, HisH, (or domain) of imidazoleglycerolphosphate synthase HisF	39
Ribosomal proteins L21e	39
RNA polymerase omega subunit	39
RNA polymerase I subunit A135	39
Naphthalene 1,2-dioxygenase beta subunit	39
Factor IX (IXa)	39
Nickel-iron hydrogenase, small subunit	39
Ribosomal protein L24e	39
Elongation factor Ts (EF-Ts), N-terminal domain	39
beta-Catenin	39
RNA polymerase I subunit A34.5, interaction domain	39
Ribosomal protein S5, C-terminal domain	39
Shank1, PDZ domain	39
Met repressor, MetJ (MetR)	38
Aminopeptidase P, C-terminal domain	38
Pyruvate dehydrogenase kinase	38
Iron-dependent regulator IdeR	38
5'-AMP-activated protein kinase subunit gamma-1, AMPKg	38
KDPG aldolase	38
N-terminal, heterodimerisation domain of RBP7 (RpoE)	38
Aminopeptidase P	38
Citrate synthase	38
Ethanolamine utilization protein EutN	38
Ricin A-chain	38
Gamma-carboxymuconolactone decarboxylase, CMD	38
Thymidine kinase, TK1, C-terminal domain	38
Alphanodavirus capsid protein	38
Thymidine kinase, TK1, N-terminal domain	38
Glycogenin	38
gp9	38
Apoptosis-2 ligand, apo2l/TRAIL	38
Elongation factor Ts (EF-Ts), dimerisation domain, C-terminal domain	38
beta-Lactoglobulin	38
C-terminal domain of RNA polymerase II subunit RBP7 (RpoE)	38
Acyl carrier protein	38
Phosphoglycerate dehydrogenase, regulatory (C-terminal) domain	38
Undecaprenyl diphosphate synthase	38
N-methyl-D-aspartate receptor subunit 1	38
3-keto-L-gulonate 6-phosphate decarboxylase	37
Signal sequence recognition protein Ffh	37
Ribosomal protein S2	37
Ferredoxin thioredoxin reductase (FTR), catalytic beta chain	37
Cyclase subunit (or domain) of imidazoleglycerolphosphate synthase HisF	37
Maltase, domain 3	37
GTPase domain of the signal sequence recognition protein Ffh	37
Neurophysin II	37
Subtilisin	37
Maltase, catalytic domain	37
Aurora-related kinase 1 (aurora-2)	37
Maltase, N-terminal domain	37
Synaptobrevin	37
Maltase, C-terminal domain	37
RNA polymerase subunit RBP8	37
Cyclin T1	37
Snf1-like protein kinase ssp2	36
Proteasome-activating nucleotidase PAN, OB-fold domain	36
Oxalyl-CoA decarboxylase	36
2,4-dienoyl-CoA reductase, mitochondrial (DECR)	36
Thermophilic reversible gamma-resorcylate decarboxylase	36
Adenovirus	36
Dynactin 1	36
Adenylylsulfate reductase A subunit	36
3C cysteine protease (picornain 3C)	36
Circadian clock protein KaiC	36
Hypothetical protein SPy2060	36
BIR domains of DIAP1	36
Photosystem I subunit PsaD	36
Phosphomevalonate kinase (PMK)	36
Penicillin V acylase	36
Chitinase B, catalytic domain	36
Annexin XII	36
Ketose reductase (sorbitol dehydrogenase)	36
Catabolic acetolactate synthase	36
Parvalbumin	36
Transhydrogenase domain III (dIII)	36
TGF-beta2	36
Breast cancer associated protein, BRCA1	36
p65 subunit of NF-kappa B (NFKB), dimerization domain	36
Carboxypeptidase A	36
Ribosomal protein L6	36
Rift Valley fever virus (RVFV) N protein	36
Succinate dehydrogenase subunit SdhC	36
Homoserine kinase	36
pak1	36
Hypothetical protein EF1021	36
Prephenate dehydrogenase TyrA	36
Abelsone tyrosine kinase (abl)	36
Probable phosphatase YrbI	36
Hypothetical protein MTH1020	36
Putative acetyltransferase EF2353	36
Ubiquinol-cytochrome c reductase 8 kDa protein	36
NavAb sodium channel	36
Glucosamine 6-phosphate deaminase/isomerase NagB	36
Purine transdeoxyribosylase	36
Chitinase B	36
L-rhamnose isomerase	36
Chitinase B, C-terminal domain	36
Nitroalkane oxidase	36
Scytalone dehydratase	36
Mammalian CutA-like protein	36
Mammalian cytochrome p450 2b4	36
Galectin-3 CRD	35
Skp2	35
2-methylacyl-CoA racemase Mcr	35
Ovomucoid domains	35
Photosystem II core light harvesting protein PsbB	35
Plastocyanin	35
Sentrin-specific protease 2, SENP2	35
Myosin Essential Chain	35
Sec23	35
Archaeal inositol monophosphatase/fructose-1,6-bisphosphatase	34
Aphthovirus (Foot-and-mouth disease virus) coat proteins	34
gamma,delta resolvase, catalytic domain	34
Allene oxide cyclase, AOC	34
Alanine-glyoxylate aminotransferase	34
Processive endocellulase CelF (Cel48F)	34
Arsenite oxidase large subunit	34
Molybdenum cofactor biosynthesis protein MoeA, N-terminal and linker domains	34
Stringent starvation protein B, SspB	34
Sodium/potassium-transporting ATPase, transmembrane domain	34
Cruzain	34
Troponin C	34
Toluene, o-xylene monooxygenase oxygenase subunit TouA	34
Heterochromatin protein 1, HP1	34
Hexameric traffic ATPase, HP0525	34
Immunoreceptor CTLA-4 (CD152), N-terminal fragment	34
Seminal ribonucleasease	34
Orphan nuclear receptor NR4A1	34
Molybdenum cofactor biosynthesis protein MoeA, C-terminal domain	34
Cytochrome c6 (synonym: cytochrome c553)	34
Methylenetetrahydrofolate reductase	34
MoeA, central domain	34
Transcriptional activator TenA	34
Carboxyl-terminal src kinase (csk)	34
2-keto-3-deoxy gluconate aldolase Eda	34
Trichodiene synthase	34
Pyruvoyl dependent aspartate decarboxylase, ADC	34
Hypothetical protein MraZ	34
Pyruvate oxidase	34
Copper chaperone for superoxide dismutase, C-terminal domain	34
Diol dehydratase, beta subunit	34
HCV helicase domain, N-terminal domain	34
Haemopoetic cell kinase Hck	34
Complement c1q globular head, C chain	34
1-Cys peroxiredoxin	34
Interferon regulatory factor 3 (IRF3), transactivation domain	34
Pyruvate dehydrogenase E1-beta, PdhB, C-terminal domain	34
Pyruvate dehydrogenase E1-beta, PdhB, N-terminal domain	34
Sodium/potassium-transporting ATPase, actuator domain A	34
Uncharacterized protein BCE_G9241_0798	34
Integrin CD11a/CD18 (Leukocyte function associated antigen-1, LFA-1)	34
Deoxyribose-phosphate aldolase DeoC	33
DNA replication initiator (cdc21/cdc54) N-terminal domain	33
Agmatine iminohydrolase	33
LYR motif-containing protein 4	33
CD4 V-set domains	33
Elastase	33
Ribosomal protein S6	33
Quinolinic acid phosphoribosyltransferase (Nicotinate-nucleotide pyrophosphorylase, NadC), N-terminal domain	32
Importin alpha	32
D-ribose-5-phosphate isomerase (RpiA), lid domain	32
Alpha subunit of glutamate synthase, central and FMN domains	32
Importin beta	32
Transcriptional activator sigm54 (NtrC1), C-terminal domain	32
IMP cyclohydrolase domain of bifunctional purine biosynthesis enzyme ATIC	32
HCV helicase domain, C-terminal domain	32
TraM	32
Alpha subunit of glutamate synthase, N-terminal domain	32
Alpha subunit of glutamate synthase, C-terminal domain	32
AICAR transformylase domain of bifunctional purine biosynthesis enzyme ATIC	32
Interleukin-15 (IL-15)	32
Histidyl-tRNA synthetase (HisRS), C-terminal domain	32
Histidyl-tRNA synthetase (HisRS)	32
Copper amine oxidase, domain N	32
Outer membrane lipoprotein	32
ARPC2 (34 kDa subunit)	32
ATP phosphoribosyltransferase (ATP-PRTase, HisG), catalytic domain	32
Odorant-binding protein	32
D-ribose-5-phosphate isomerase (RpiA), catalytic domain	32
Quinolinic acid phosphoribosyltransferase (Nicotinate-nucleotide pyrophosphorylase, NadC), C-terminal domain	32
Restriction endonuclease Bse634I	32
DinB homolog (DBH)	32
Exoenzyme c3	32
2-amino-3-carboxymuconate 6-semialdehyde decarboxylase NbaD	32
Protein phosphatase 2A catalytic subunit alpha isoform, PP2A-alpha	32
Formaldehyde ferredoxin oxidoreductase	32
MM_2965	32
Malonate semialdehyde decarboxylase, MSAD	32
Cephalosporin C deacetylase	32
Xylose reductase	32
Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase (CODH/ACS) beta (CODH) subunit	32
N-terminal, RNA-binding domain of nonstructural protein NS1	32
Galactokinase	32
